ciclo,mes,tarifa,f_lteor,total_programados,total_leidos_actual,total_leidos_ftl,reglamentarios
3,Marzo,T2,2/3/2026 00:00:00,3524,2890,3259,0
3,Marzo,T2,3/3/2026 00:00:00,1607,1444,772,0
3,Marzo,T2,4/3/2026 00:00:00,1340,0,266,0
3,Marzo,T2,5/3/2026 00:00:00,1112,0,37,0
3,Marzo,T2,6/3/2026 00:00:00,1095,0,0,0
3,Marzo,T2,9/3/2026 00:00:00,657,0,0,0
3,Marzo,T2,10/3/2026 00:00:00,922,0,0,0
3,Marzo,T2,11/3/2026 00:00:00,583,0,0,0
3,Marzo,T2,12/3/2026 00:00:00,648,0,0,0
3,Marzo,T2,13/3/2026 00:00:00,418,0,0,0
2,Marzo,T1,2/3/2026 00:00:00,7548,2572,6183,98
2,Marzo,T1,3/3/2026 00:00:00,7214,6990,3114,98
2,Marzo,T1,4/3/2026 00:00:00,9146,0,189,61
2,Marzo,T1,5/3/2026 00:00:00,7602,0,76,0
2,Marzo,T1,6/3/2026 00:00:00,7760,0,0,0
2,Marzo,T1,9/3/2026 00:00:00,9316,0,0,0
2,Marzo,T1,10/3/2026 00:00:00,12865,0,0,0
2,Marzo,T1,11/3/2026 00:00:00,11917,0,0,0
2,Marzo,T1,12/3/2026 00:00:00,9429,0,0,0
2,Marzo,T1,13/3/2026 00:00:00,13509,0,0,0
2,Marzo,T1,16/3/2026 00:00:00,13103,0,0,0
2,Marzo,T1,17/3/2026 00:00:00,14154,0,0,0
2,Marzo,T1,18/3/2026 00:00:00,18461,0,0,0
2,Marzo,T1,19/3/2026 00:00:00,11141,0,0,0
2,Marzo,T1,20/3/2026 00:00:00,15091,0,0,0
2,Marzo,T1,23/3/2026 00:00:00,16148,0,0,0
2,Marzo,T1,25/3/2026 00:00:00,16812,0,0,0
2,Marzo,T1,26/3/2026 00:00:00,14453,0,0,0
2,Marzo,T1,27/3/2026 00:00:00,11856,0,0,0
2,Marzo,T1,30/3/2026 00:00:00,14512,0,0,0
