f_actual,tarifa,cod_unicom,ruta,num_itin,ciclo,f_lteor,anio_ciclo,nl_gen,est_itin,desc_est,cantidad,leidos,faltantes,anomalias,prop_anomalias,demora_dias_corridos,demora_hab_sin_feriados,cod_contratista,contratista
24/4/2026 00:00:00,T1,1102,37,595,2,27/4/2026 00:00:00,2026,284,IR014,Cargado TPL,284,274,10,17,6,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,1102,37,700,2,27/4/2026 00:00:00,2026,250,IR010,Enviado al TPL,250,0,250,0,0,1,1,CH001,SYMESA
24/4/2026 00:00:00,T1,1102,37,841,2,27/4/2026 00:00:00,2026,868,IR014,Cargado TPL,868,570,298,47,5,41,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,1102,37,855,2,27/4/2026 00:00:00,2026,199,IR014,Cargado TPL,199,16,183,4,2,01,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,1102,37,885,2,27/4/2026 00:00:00,2026,445,IR014,Cargado TPL,445,12,433,0,0,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,1102,37,905,2,27/4/2026 00:00:00,2026,280,IR014,Cargado TPL,280,278,2,7,2,5,1,1,CH001,SYMESA
24/4/2026 00:00:00,T1,1202,37,2936,2,27/4/2026 00:00:00,2026,421,IR014,Cargado TPL,421,411,10,17,4,04,1,1,CH001,SYMESA
24/4/2026 00:00:00,T1,1202,37,3025,2,27/4/2026 00:00:00,2026,293,IR014,Cargado TPL,293,290,3,14,4,78,1,1,CH001,SYMESA
24/4/2026 00:00:00,T1,1302,37,3518,2,27/4/2026 00:00:00,2026,477,IR014,Cargado TPL,477,412,65,181,37,95,1,1,CH008,PAMAR
24/4/2026 00:00:00,T1,1402,37,3687,2,27/4/2026 00:00:00,2026,576,IR014,Cargado TPL,576,497,79,143,24,83,1,1,CH008,PAMAR
24/4/2026 00:00:00,T1,1502,37,4122,2,27/4/2026 00:00:00,2026,301,IR014,Cargado TPL,301,141,160,4,1,33,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,37,4130,2,27/4/2026 00:00:00,2026,91,IR016,Descargado del TPL,91,91,0,7,7,69,1,1,CH001,SYMESA
23/4/2026 00:00:00,T1,1502,37,4135,2,27/4/2026 00:00:00,2026,398,IR014,Cargado TPL,398,321,77,17,4,27,1,1,CH001,SYMESA
23/4/2026 00:00:00,T1,1602,37,5415,2,27/4/2026 00:00:00,2026,515,IR011,Recibido del TPL,515,515,0,21,4,08,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,2202,37,4925,2,27/4/2026 00:00:00,2026,126,IR016,Descargado del TPL,126,126,0,13,10,32,1,1,CH001,SYMESA
24/4/2026 00:00:00,T1,2302,37,5075,2,27/4/2026 00:00:00,2026,368,IR014,Cargado TPL,368,72,296,8,2,17,1,1,CH001,SYMESA
24/4/2026 00:00:00,T1,3102,37,2220,2,27/4/2026 00:00:00,2026,201,IR014,Cargado TPL,201,197,4,5,2,49,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,3102,37,2221,2,27/4/2026 00:00:00,2026,362,IR010,Enviado al TPL,362,0,362,0,0,1,1,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,2960,2,28/4/2026 00:00:00,2026,247,IR014,Cargado TPL,247,149,98,23,9,31,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,2985,2,28/4/2026 00:00:00,2026,592,IR014,Cargado TPL,592,403,189,16,2,7,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,2986,2,28/4/2026 00:00:00,2026,312,IR014,Cargado TPL,312,41,271,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,3003,2,28/4/2026 00:00:00,2026,421,IR014,Cargado TPL,421,47,374,8,1,9,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,3026,2,28/4/2026 00:00:00,2026,127,IR014,Cargado TPL,127,3,124,0,0,0,0,CH001,SYMESA
24/4/2026 00:00:00,T1,1202,38,3028,2,28/4/2026 00:00:00,2026,503,IR014,Cargado TPL,503,303,200,19,3,78,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,3031,2,28/4/2026 00:00:00,2026,142,IR010,Enviado al TPL,142,0,142,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,3037,2,28/4/2026 00:00:00,2026,524,IR014,Cargado TPL,524,364,160,201,38,36,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,3050,2,28/4/2026 00:00:00,2026,162,IR016,Descargado del TPL,162,162,0,25,15,43,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,3095,2,28/4/2026 00:00:00,2026,161,IR016,Descargado del TPL,161,161,0,28,17,39,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,38,3110,2,28/4/2026 00:00:00,2026,152,IR016,Descargado del TPL,152,152,0,23,15,13,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1302,38,3362,2,28/4/2026 00:00:00,2026,247,IR014,Cargado TPL,247,12,235,1,0,4,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1302,38,3367,2,28/4/2026 00:00:00,2026,180,IR014,Cargado TPL,180,134,46,8,4,44,0,0,CH001,SYMESA
24/4/2026 00:00:00,T1,1402,38,3716,2,28/4/2026 00:00:00,2026,658,IR014,Cargado TPL,658,576,82,69,10,49,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,38,3729,2,28/4/2026 00:00:00,2026,51,IR010,Enviado al TPL,51,0,51,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,38,3733,2,28/4/2026 00:00:00,2026,216,IR014,Cargado TPL,216,99,117,4,1,85,0,0,CH001,SYMESA
24/4/2026 00:00:00,T1,1402,38,3742,2,28/4/2026 00:00:00,2026,499,IR014,Cargado TPL,499,495,4,13,2,61,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,38,3743,2,28/4/2026 00:00:00,2026,459,IR014,Cargado TPL,459,184,275,16,3,49,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,38,3745,2,28/4/2026 00:00:00,2026,227,IR016,Descargado del TPL,227,227,0,8,3,52,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,38,3755,2,28/4/2026 00:00:00,2026,379,IR010,Enviado al TPL,379,0,379,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,38,3759,2,28/4/2026 00:00:00,2026,320,IR016,Descargado del TPL,320,320,0,11,3,44,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,38,4120,2,28/4/2026 00:00:00,2026,276,IR014,Cargado TPL,276,110,166,10,3,62,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,38,4132,2,28/4/2026 00:00:00,2026,98,IR014,Cargado TPL,98,1,97,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,38,4134,2,28/4/2026 00:00:00,2026,210,IR014,Cargado TPL,210,137,73,12,5,71,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,38,4137,2,28/4/2026 00:00:00,2026,478,IR003,Enviado al Centro de Lectura,478,59,419,11,2,3,0,0,CH001,SYMESA
24/4/2026 00:00:00,T1,1602,38,5420,2,28/4/2026 00:00:00,2026,361,IR014,Cargado TPL,361,1,360,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,2202,38,4935,2,28/4/2026 00:00:00,2026,446,IR014,Cargado TPL,446,220,226,11,2,47,0,0,CH001,SYMESA
28/4/2026 00:00:00,T1,2302,38,5055,2,28/4/2026 00:00:00,2026,288,IR010,Enviado al TPL,288,0,288,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,3102,38,2223,2,28/4/2026 00:00:00,2026,257,IR010,Enviado al TPL,257,0,257,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,3102,38,2225,2,28/4/2026 00:00:00,2026,213,IR010,Enviado al TPL,213,0,213,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,3102,38,2227,2,28/4/2026 00:00:00,2026,441,IR014,Cargado TPL,441,5,436,0,0,0,0,CH001,SYMESA
27/4/2026 00:00:00,T1,3202,38,5642,2,28/4/2026 00:00:00,2026,200,IR014,Cargado TPL,200,111,89,3,1,5,0,0,CH001,SYMESA
28/4/2026 00:00:00,T1,1202,39,3034,2,29/4/2026 00:00:00,2026,120,IR010,Enviado al TPL,120,0,120,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1202,39,3038,2,29/4/2026 00:00:00,2026,210,IR014,Cargado TPL,210,1,209,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1302,39,3382,2,29/4/2026 00:00:00,2026,447,IR014,Cargado TPL,447,144,303,5,1,12,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1302,39,3460,2,29/4/2026 00:00:00,2026,559,IR014,Cargado TPL,559,215,344,12,2,15,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1302,39,3485,2,29/4/2026 00:00:00,2026,198,IR014,Cargado TPL,198,50,148,2,1,01,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1302,39,3486,2,29/4/2026 00:00:00,2026,207,IR010,Enviado al TPL,207,0,207,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1302,39,3521,2,29/4/2026 00:00:00,2026,308,IR014,Cargado TPL,308,79,229,16,5,19,-1,-1,CH008,PAMAR
27/4/2026 00:00:00,T1,1402,39,3721,2,29/4/2026 00:00:00,2026,900,IR014,Cargado TPL,900,479,421,22,2,44,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,39,3722,2,29/4/2026 00:00:00,2026,272,IR014,Cargado TPL,272,1,271,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,39,3726,2,29/4/2026 00:00:00,2026,336,IR014,Cargado TPL,336,49,287,1,0,3,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,39,3754,2,29/4/2026 00:00:00,2026,354,IR014,Cargado TPL,354,130,224,2,0,56,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,39,3758,2,29/4/2026 00:00:00,2026,662,IR014,Cargado TPL,662,30,632,3,0,45,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1402,39,3763,2,29/4/2026 00:00:00,2026,198,IR014,Cargado TPL,198,66,132,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,39,4133,2,29/4/2026 00:00:00,2026,90,IR014,Cargado TPL,90,3,87,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,39,4142,2,29/4/2026 00:00:00,2026,185,IR014,Cargado TPL,185,64,121,2,1,08,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1502,39,4143,2,29/4/2026 00:00:00,2026,67,IR010,Enviado al TPL,67,0,67,0,0,-1,-1,CH001,SYMESA
28/4/2026 00:00:00,T1,1502,39,4145,2,29/4/2026 00:00:00,2026,340,IR010,Enviado al TPL,340,0,340,0,0,-1,-1,CH001,SYMESA
28/4/2026 00:00:00,T1,1502,39,4147,2,29/4/2026 00:00:00,2026,440,IR010,Enviado al TPL,440,0,440,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1602,39,5425,2,29/4/2026 00:00:00,2026,80,IR010,Enviado al TPL,80,0,80,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,1602,39,5430,2,29/4/2026 00:00:00,2026,268,IR010,Enviado al TPL,268,0,268,0,0,-1,-1,CH001,SYMESA
27/4/2026 00:00:00,T1,2102,39,4717,2,29/4/2026 00:00:00,2026,337,IR016,Descargado del TPL,337,337,0,21,6,23,-1,-1,CH001,SYMESA
28/4/2026 00:00:00,T1,2202,39,4950,2,29/4/2026 00:00:00,2026,452,IR010,Enviado al TPL,452,0,452,0,0,-1,-1,CH001,SYMESA
28/4/2026 00:00:00,T1,2302,39,5059,2,29/4/2026 00:00:00,2026,137,IR010,Enviado al TPL,137,0,137,0,0,-1,-1,CH001,SYMESA
24/4/2026 00:00:00,T1,3102,39,2176,2,29/4/2026 00:00:00,2026,393,IR011,Recibido del TPL,393,393,0,52,13,23,-1,-1,CH004, ERLYFSA
